index,SMILES
10,BrCc1ccccc1Nc1ncn[nH]1
16,Brc1cc(Br)cc(Nn2cnnc2)c1
28,C#CCCN(c1cccc(C(=O)Nn2cnnc2)c1)c1[nH+]cccc1Br
160,C=CNc1nc2ccc([N+](=O)[O-])cc2s1
163,C=COC(=O)CCCCCCBr
172,CC(=O)N(c1ccc(B(O)O)cc1)c1cc2ccccc2o1
547,CCC(=O)N(c1cc(Cl)ncn1)c1cc(Cl)ncc1C#N
832,CCc1ccc(Nn2cnnc2)cc1
1060,CNC(=O)c1ccc(C(=O)NO)cc1
1165,COc1cc(Br)c(C(=O)N(c2ccc(CO)cc2)c2ccccc2C=O)cc1O
1210,COc1cc(N(c2cc(N)ncn2)c2nc3ccccc3s2)ccc1Cl
1213,COc1cc(N2CCS(=O)(=O)CC2)ccc1Cl
1216,COc1cc(N2CCS(=O)(=O)CC2)ccc1NCCO
1234,COc1cc(Nc2cc3ccccc3o2)ncn1
1363,COc1ccc(-c2cccc(C(=O)Nn3cnnc3)c2C)cc1
1498,COc1ccc(C(=O)Nn2cnnc2)cc1
1525,COc1ccc(Cl)c(C(=O)Nn2cnnc2)c1
1555,COc1ccc(N(C(c2ccccc2)c2ccccc2)n2cnnc2)cc1
1564,COc1ccc(N(c2c(C)noc2C)n2cnnc2)cc1
1570,COc1ccc(N2CCS(=O)(=O)CC2)cc1
1624,COc1ccc(Nn2cnnc2)cc1
1753,CS(=O)(=O)N(C(=O)c1ccccn1)c1cnc(N)c(N)c1
1765,CS(=O)(=O)N(Cc1cccc(B(O)O)c1)C(=O)c1cccc(O)c1
1801,CS(=O)(=O)NC(=O)c1sc2cc(F)ccc2c1Cl
1813,CS(=O)(=O)NS(=O)(=O)c1cccc(-c2ccc(OC(F)(F)F)cc2)c1
1846,CS(=O)(=O)Nc1ccc(OC(F)(F)F)cc1
1861,CS(=O)(=O)Nc1cnc2ccccc2c1
1969,Cc1c(C(=O)Nn2cnnc2)cccc1-c1ccc(-c2ccccc2)cc1
1972,Cc1c(C(=O)Nn2cnnc2)cccc1-c1cnc2ccccc2c1
2026,Cc1cc(C)c(N(c2ccc(CNc3cc(N)ncn3)cn2)S(=O)(=O)c2cccs2)c(C)c1
2062,Cc1cc(C)c(NC(=O)c2ccno2)c(C)c1
2080,Cc1cc(C)c(Nc2ccc([N+](=O)[O-])c(C#N)c2Cl)c(C)c1
2110,Cc1cc(N(C)c2ccccc2O)nc(Cl)c1N
2293,Cc1cccc(CNc2ncn[nH]2)c1
2296,Cc1cccc(CNn2cnnc2)c1
2320,Cc1cccc(NCc2ccc(F)c([N+](=O)[O-])c2)c1C(=O)O
2329,Cc1ccccc1N(C)c1ccc(Nc2nncs2)cc1C(=O)c1ccccc1
2347,Cc1ccccc1Nc1nnn(C)n1
2380,Cc1nnc(Nc2ccccc2Cl)s1
2383,Cc1noc(C)c1N(C(=O)c1ccc(O)cc1)n1cnnc1
2386,Cc1noc(C)c1NS(C)(=O)=O
2470,Clc1ccc(Nn2cnnc2)cc1
2518,Cn1nnc(Nc2cc3ccccc3o2)n1
2521,Cn1nnc(Nc2ccsc2)n1
2524,FC(F)(F)c1ccc(Nn2cnnc2)cc1
2539,FC(F)c1nnc(-c2ccc(Cn3cc4ccccc4n3)cc2)o1
2563,Fc1ccc(N(c2ccccn2)n2cnnc2)c(CNc2cc(Cl)ncn2)c1
2566,Fc1ccc(N(c2nc3ccccc3s2)c2ncnc3nc[nH]c23)cc1
2569,Fc1ccc(Nc2ncn[nH]2)cc1
2584,N#CN(C(=O)c1sc2ccccc2c1Cl)S(=O)(=O)C(F)(F)F
2611,N#CNc1nc2ccccc2s1
2647,N#Cc1ccc(Nc2ncn[nH]2)cc1
2779,NCc1ccc(Nc2cc(Cl)ncn2)nc1
2788,NS(=O)(=O)N(C(=O)c1sc2ccccc2c1Cl)S(=O)(=O)C(F)(F)F
2887,Nc1cc(Nn2cnnc2)ncn1
2935,Nc1ccc(Nn2cnnc2)cc1
2941,Nc1cccc2cccc(N(c3ccc([N+](=O)[O-])cc3)c3nc4ccccc4s3)c12
3007,Nc1nc2ccc(-c3ccsc3)cc2s1
3043,Nc1ncc(Br)cc1NCc1ccc(C=O)s1
3052,Nc1ncc(Br)cc1Nc1cnc2ccccc2c1
3067,Nc1ncccc1Nc1cccnc1Cl
3079,O=C(/C=C/C1CCN(Cc2csc3ccccc23)CC1)NO
3616,O=C(CC[C@@H]1N=C(c2ccccc2)c2ccccc2NC1=O)NO
3655,O=C(CO)N(C(c1ccccc1)c1ccccc1)n1cnnc1
3760,O=C(Cl)c1cccc(Nn2cnnc2)c1
3781,O=C(NCc1ccccc1)Nc1nn[nH]n1
3895,O=C(NO)c1cc2c(Cl)cccc2s1
3919,O=C(NO)c1cc2ccccc2s1
4162,O=C(NO)c1ccc2c(c1)OCCN2c1nc2ccccc2[nH]1
4165,O=C(NO)c1ccc2ccccc2n1
4234,O=C(NO)c1cn(CCCc2ccccc2)nn1
4237,O=C(NO)c1cn(CCc2ccccc2)nn1
4243,O=C(NO)c1cn2c(n1)sc1ccccc12
4315,O=C(NS(=O)(=O)Nc1cc(Cl)ccn1)c1sc2ccccc2c1Cl
4357,O=C(Nc1ncccn1)c1sc2cc(F)ccc2c1Cl
4366,O=C(Nn1cnnc1)c1sc2cc(F)ccc2c1Cl
4369,O=C(Nn1cnnc1)c1sc2ccccc2c1Cl
